UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS TEUKU UMAR,113016,SOSIOLOGI,Sarjana,60,94,Tidak Ada
UNIVERSITAS TEUKU UMAR,113017,ILMU KOMUNIKASI,Sarjana,100,142,Tidak Ada
UNIVERSITAS TEUKU UMAR,113018,MANAJEMEN,Sarjana,100,185,Tidak Ada
UNIVERSITAS TEUKU UMAR,113019,AKUNTANSI,Sarjana,90,128,Tidak Ada
UNIVERSITAS TEUKU UMAR,113020,ILMU HUKUM,Sarjana,90,108,Tidak Ada
UNIVERSITAS TEUKU UMAR,113021,PETERNAKAN,Sarjana,30,(Prodi Baru),Tidak Ada
UNIVERSITAS TEUKU UMAR,113022,BISNIS DIGITAL,Sarjana,30,(Prodi Baru),Tidak Ada
UNIVERSITAS TEUKU UMAR,113023,KESELAMATAN DAN KESEHATAN KERJA,Sarjana,30,(Prodi Baru),Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS SAMUDRA,114001,AGROTEKNOLOGI,Sarjana,48,79,Tidak Ada
UNIVERSITAS SAMUDRA,114002,AGRIBISNIS,Sarjana,60,153,Tidak Ada
UNIVERSITAS SAMUDRA,114003,AKUAKULTUR,Sarjana,24,24,Tidak Ada
UNIVERSITAS SAMUDRA,114004,PENDIDIKAN MATEMATIKA,Sarjana,12,33,Tidak Ada
UNIVERSITAS SAMUDRA,114005,PENDIDIKAN FISIKA,Sarjana,12,9,Tidak Ada
UNIVERSITAS SAMUDRA,114006,PENDIDIKAN KIMIA,Sarjana,12,13,Tidak Ada
UNIVERSITAS SAMUDRA,114007,PENDIDIKAN BIOLOGI,Sarjana,36,38,Tidak Ada
UNIVERSITAS SAMUDRA,114008,TEKNIK MESIN,Sarjana,36,56,Tidak Ada
UNIVERSITAS SAMUDRA,114009,TEKNIK SIPIL,Sarjana,48,94,Tidak Ada
UNIVERSITAS SAMUDRA,114010,TEKNIK INDUSTRI,Sarjana,48,105,Tidak Ada
UNIVERSITAS SAMUDRA,114011,INFORMATIKA,Sarjana,72,319,Tidak Ada
UNIVERSITAS SAMUDRA,114012,MATEMATIKA,Sarjana,12,8,Tidak Ada
UNIVERSITAS SAMUDRA,114013,FISIKA,Sarjana,12,10,Tidak Ada
